date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-05-06 00:00:00,29.2,24,36,,,,11.4,,1012.1,
2022-05-07 00:00:00,30.5,21,40,,,,13.4,,1008.8,
2022-05-08 00:00:00,30.4,23,40,,,,15,,1005.4,
2022-05-09 00:00:00,29.4,23.6,36,,,,14.5,,1007.5,
2022-05-10 00:00:00,27.6,24,31,,,,15.2,,1013.7,
2022-05-11 00:00:00,27.5,24,34,,,,18.7,,1017.1,
2022-05-12 00:00:00,27.9,21,35.8,,,,15.1,,1014.1,
2022-05-13 00:00:00,27.8,23,36,,,,13,,1012.3,
2022-05-14 00:00:00,27.3,22,35,,,,12.4,,1013.6,
2022-05-15 00:00:00,28.6,20,37,,,,11.8,,1014,
2022-05-16 00:00:00,28.9,20,38,,,,12.6,,1013.8,
2022-05-17 00:00:00,28.8,20,38,,,,17.1,,1012.9,
2022-05-18 00:00:00,28.2,21,36,,,,13.5,,1011.8,
2022-05-19 00:00:00,28.8,22,38,,,,13.4,,1007.6,
2022-05-20 00:00:00,32.7,22,43,,,,16.9,,1003.4,
2022-05-21 00:00:00,30.2,22.6,40,,,,12.2,,1008.4,
2022-05-22 00:00:00,26.6,24,32,,,,12.1,,1016.3,
2022-05-23 00:00:00,23.4,21,26,,,,13.1,,1014.1,
2022-05-24 00:00:00,22.8,19,31.9,,,,13.3,,1008.1,
2022-05-25 00:00:00,23.6,21,27,0.8,,,8.9,,1011.8,
2022-05-26 00:00:00,28.1,23,34,,,,11.4,,1015.3,
2022-05-27 00:00:00,27.9,21.3,35,,,,12,,1016.4,
2022-05-28 00:00:00,29.1,23,37,0,,,14,,1012.3,
2022-05-29 00:00:00,28.9,22,37,0,,,15.2,,1006.7,
2022-05-30 00:00:00,28.6,23,36,0.3,,,17.4,,1006.1,
2022-05-31 00:00:00,29,24,36,0.1,,,19.6,,1009.3,
2022-06-01 00:00:00,28.5,24,36,0.2,,,20.3,,1011.5,
2022-06-02 00:00:00,27.9,23,34,0.1,,,17.9,,1012.9,
2022-06-03 00:00:00,27.2,22,32,0,,,11.3,,1012.8,
2022-06-04 00:00:00,29.3,21,36,0,,,11.3,,1011.5,
2022-06-05 00:00:00,31.1,22,41,0,,,11.7,,1007.6,
2022-06-06 00:00:00,32.1,23,42,0,,,12.6,,1006.3,
2022-06-07 00:00:00,31.2,23,41,0,,,16.7,,1008.4,
2022-06-08 00:00:00,29.8,24,37,0.1,,,17.7,,1011.4,
2022-06-09 00:00:00,28.7,25,36,0.6,,,20,,1014.3,
2022-06-10 00:00:00,29.9,24,37,0,,,12.8,,1012.9,
2022-06-11 00:00:00,30.8,23,38,0,,,13.4,,1011.1,
2022-06-12 00:00:00,31.4,25,39,0,,,18.4,,1010.6,
2022-06-13 00:00:00,29.9,24,36,0,,,20.4,,1011.9,
2022-06-14 00:00:00,28.9,23.2,36,0,,,19.5,,1012.3,
2022-06-15 00:00:00,29.1,23.6,36,0,,,22.4,,1013.6,
2022-06-16 00:00:00,29.2,23,37,0,,,18.6,,1016.1,
2022-06-17 00:00:00,28,22,36,0,,,13.2,,1016.1,
2022-06-18 00:00:00,26.6,22.7,35,0.6,,,13.6,,1015.5,
2022-06-19 00:00:00,28,22,36,0,,,13.6,,1015.7,
2022-06-20 00:00:00,28.9,23,35,0,,,15.3,,1016.9,
2022-06-21 00:00:00,27.9,23,35,1.1,,,14.6,,1018.4,
2022-06-22 00:00:00,27.5,22,34,0.2,,,13.6,,1018.6,
2022-06-23 00:00:00,28.3,21,36,0,,,12.6,,1016.1,
2022-06-24 00:00:00,29,21.7,37,0,,,13.1,,1013.6,
2022-06-25 00:00:00,28.4,22,36,0,,,14.8,,1014.5,
2022-06-26 00:00:00,28.6,22.8,35,0,,,13.2,,1017.3,
2022-06-27 00:00:00,28.6,22.5,35,1.4,,,10.5,,1018.8,
2022-06-28 00:00:00,28,22.4,34,15.3,,,12.1,,1019.3,
2022-06-29 00:00:00,25.6,21,31,2.5,,,10,,1020,
2022-06-30 00:00:00,28.1,22,35,0,,,9.3,,1017,
2022-07-01 00:00:00,29.2,22.5,36,0,,,9.4,,1013.8,
2022-07-02 00:00:00,27.5,23.3,33,0.2,,,10.4,,1013.4,
2022-07-03 00:00:00,28.4,23.7,36,0,,,12,,1014.9,
2022-07-04 00:00:00,29.1,23,36,0,,,13.6,,1015.6,
2022-07-05 00:00:00,29.4,22,37,0,,,14.9,,1014.8,
2022-07-06 00:00:00,29.4,22,36.9,0,,,13.3,,1013.9,
2022-07-07 00:00:00,29.7,23,37,0,,,12.9,,1014.4,
2022-07-08 00:00:00,29.8,23.7,37,0,,,12.7,,1016.5,
2022-07-09 00:00:00,30.8,23.7,37.7,0,,,10.1,,1017.6,
2022-07-10 00:00:00,31,23.5,38,0,,,8.8,,1015.7,
2022-07-11 00:00:00,31.5,23.4,40,0,,,10.5,,1012.1,
2022-07-12 00:00:00,30.8,23.6,38,0,,,12.9,,1012,
2022-07-13 00:00:00,29.6,23.7,36,0,,,11.1,,1014.9,
2022-07-14 00:00:00,28.8,23.6,36,0.3,,,11.4,,1016.4,
2022-07-15 00:00:00,29,22,35,0,,,10.2,,1017.1,
2022-07-16 00:00:00,28.8,23,36,0,,,12.2,,1015.5,
2022-07-17 00:00:00,29.2,22.4,38,0,,,13.9,,1014.6,
2022-07-18 00:00:00,29.8,22.9,38,0,,,13.1,,1015,
2022-07-19 00:00:00,30.1,23,37,0,,,11.9,,1014,
